root,parent,child,parent version,child version,expected improvement
qthreads,qthreads,hwloc,1.10,1.11.1,1.0
qthreads,qthreads,hwloc,1.11,1.11.1,1.0
qthreads,qthreads,hwloc,1.12,1.11.1,1.0
qthreads,qthreads,hwloc,1.14,1.11.1,1.0
qthreads,qthreads,hwloc,1.15,1.11.1,1.0
qthreads,qthreads,hwloc,1.16,1.11.1,1.0
qthreads,qthreads,hwloc,1.10,1.11.10,1.0
qthreads,qthreads,hwloc,1.11,1.11.10,1.0
qthreads,qthreads,hwloc,1.12,1.11.10,1.0
qthreads,qthreads,hwloc,1.14,1.11.10,1.0
qthreads,qthreads,hwloc,1.15,1.11.10,1.0
qthreads,qthreads,hwloc,1.16,1.11.10,1.0
qthreads,qthreads,hwloc,1.10,1.11.11,1.0
qthreads,qthreads,hwloc,1.11,1.11.11,1.0
qthreads,qthreads,hwloc,1.12,1.11.11,1.0
qthreads,qthreads,hwloc,1.14,1.11.11,1.0
qthreads,qthreads,hwloc,1.15,1.11.11,1.0
qthreads,qthreads,hwloc,1.16,1.11.11,1.0
qthreads,qthreads,hwloc,1.10,1.11.12,1.0
qthreads,qthreads,hwloc,1.11,1.11.12,1.0
qthreads,qthreads,hwloc,1.12,1.11.12,1.0
qthreads,qthreads,hwloc,1.14,1.11.12,1.0
qthreads,qthreads,hwloc,1.15,1.11.12,1.0
qthreads,qthreads,hwloc,1.16,1.11.12,1.0
qthreads,qthreads,hwloc,1.10,1.11.13,1.0
qthreads,qthreads,hwloc,1.11,1.11.13,1.0
qthreads,qthreads,hwloc,1.12,1.11.13,1.0
qthreads,qthreads,hwloc,1.14,1.11.13,1.0
qthreads,qthreads,hwloc,1.15,1.11.13,1.0
qthreads,qthreads,hwloc,1.16,1.11.13,1.0
qthreads,qthreads,hwloc,1.10,1.11.2,1.0
qthreads,qthreads,hwloc,1.11,1.11.2,1.0
qthreads,qthreads,hwloc,1.12,1.11.2,1.0
qthreads,qthreads,hwloc,1.14,1.11.2,1.0
qthreads,qthreads,hwloc,1.15,1.11.2,1.0
qthreads,qthreads,hwloc,1.16,1.11.2,1.0
qthreads,qthreads,hwloc,1.10,1.11.3,1.0
qthreads,qthreads,hwloc,1.11,1.11.3,1.0
qthreads,qthreads,hwloc,1.12,1.11.3,1.0
qthreads,qthreads,hwloc,1.14,1.11.3,1.0
qthreads,qthreads,hwloc,1.15,1.11.3,1.0
qthreads,qthreads,hwloc,1.16,1.11.3,1.0
qthreads,qthreads,hwloc,1.10,1.11.4,1.0
qthreads,qthreads,hwloc,1.11,1.11.4,1.0
qthreads,qthreads,hwloc,1.12,1.11.4,1.0
qthreads,qthreads,hwloc,1.14,1.11.4,1.0
qthreads,qthreads,hwloc,1.15,1.11.4,1.0
qthreads,qthreads,hwloc,1.16,1.11.4,1.0
qthreads,qthreads,hwloc,1.10,1.11.5,1.0
qthreads,qthreads,hwloc,1.11,1.11.5,1.0
qthreads,qthreads,hwloc,1.12,1.11.5,1.0
qthreads,qthreads,hwloc,1.14,1.11.5,1.0
qthreads,qthreads,hwloc,1.15,1.11.5,1.0
qthreads,qthreads,hwloc,1.16,1.11.5,1.0
qthreads,qthreads,hwloc,1.10,1.11.6,1.0
qthreads,qthreads,hwloc,1.11,1.11.6,1.0
qthreads,qthreads,hwloc,1.12,1.11.6,1.0
qthreads,qthreads,hwloc,1.14,1.11.6,1.0
qthreads,qthreads,hwloc,1.15,1.11.6,1.0
qthreads,qthreads,hwloc,1.16,1.11.6,1.0
qthreads,qthreads,hwloc,1.10,1.11.7,1.0
qthreads,qthreads,hwloc,1.11,1.11.7,1.0
qthreads,qthreads,hwloc,1.12,1.11.7,1.0
qthreads,qthreads,hwloc,1.14,1.11.7,1.0
qthreads,qthreads,hwloc,1.15,1.11.7,1.0
qthreads,qthreads,hwloc,1.16,1.11.7,1.0
qthreads,qthreads,hwloc,1.10,1.11.8,1.0
qthreads,qthreads,hwloc,1.11,1.11.8,1.0
qthreads,qthreads,hwloc,1.12,1.11.8,1.0
qthreads,qthreads,hwloc,1.14,1.11.8,1.0
qthreads,qthreads,hwloc,1.15,1.11.8,1.0
qthreads,qthreads,hwloc,1.16,1.11.8,1.0
qthreads,qthreads,hwloc,1.10,1.11.9,1.0
qthreads,qthreads,hwloc,1.11,1.11.9,1.0
qthreads,qthreads,hwloc,1.12,1.11.9,1.0
qthreads,qthreads,hwloc,1.14,1.11.9,1.0
qthreads,qthreads,hwloc,1.15,1.11.9,1.0
qthreads,qthreads,hwloc,1.16,1.11.9,1.0
qthreads,qthreads,hwloc,1.10,1.9,1.0
qthreads,qthreads,hwloc,1.11,1.9,1.0
qthreads,qthreads,hwloc,1.12,1.9,1.0
qthreads,qthreads,hwloc,1.14,1.9,1.0
qthreads,qthreads,hwloc,1.15,1.9,1.0
qthreads,qthreads,hwloc,1.16,1.9,1.0
qthreads,qthreads,hwloc,1.10,2.0.0,0.0
qthreads,qthreads,hwloc,1.11,2.0.0,0.0
qthreads,qthreads,hwloc,1.12,2.0.0,0.0
qthreads,qthreads,hwloc,1.14,2.0.0,0.0
qthreads,qthreads,hwloc,1.15,2.0.0,0.0
qthreads,qthreads,hwloc,1.16,2.0.0,1.0
qthreads,qthreads,hwloc,1.10,2.0.1,0.0
qthreads,qthreads,hwloc,1.11,2.0.1,0.0
qthreads,qthreads,hwloc,1.12,2.0.1,0.0
qthreads,qthreads,hwloc,1.14,2.0.1,0.0
qthreads,qthreads,hwloc,1.15,2.0.1,0.0
qthreads,qthreads,hwloc,1.16,2.0.1,1.0
qthreads,qthreads,hwloc,1.10,2.0.2,0.0
qthreads,qthreads,hwloc,1.11,2.0.2,0.0
qthreads,qthreads,hwloc,1.12,2.0.2,0.0
qthreads,qthreads,hwloc,1.14,2.0.2,0.0
qthreads,qthreads,hwloc,1.15,2.0.2,0.0
qthreads,qthreads,hwloc,1.16,2.0.2,1.0
qthreads,qthreads,hwloc,1.10,2.1.0,0.0
qthreads,qthreads,hwloc,1.11,2.1.0,0.0
qthreads,qthreads,hwloc,1.12,2.1.0,0.0
qthreads,qthreads,hwloc,1.14,2.1.0,0.0
qthreads,qthreads,hwloc,1.15,2.1.0,0.0
qthreads,qthreads,hwloc,1.16,2.1.0,1.0
qthreads,qthreads,hwloc,1.10,2.2.0,0.0
qthreads,qthreads,hwloc,1.11,2.2.0,0.0
qthreads,qthreads,hwloc,1.12,2.2.0,0.0
qthreads,qthreads,hwloc,1.14,2.2.0,0.0
